id_usuario,latitude_produtor,longitude_produtor,nota,tipo
503,-15.562076877111464,-47.83444173384607,5,Real
979,-15.845077432467845,-48.09006298752325,10,Real
556,-15.683422573154997,-48.17119961212521,9,Real
98,-15.818309446012448,-47.92109802601978,10,Real
273,-15.867811159057172,-48.23501079018999,3,Real
410,-15.480836250049698,-47.63352713148677,10,Real
507,-15.808592558336688,-47.919566856022335,8,Real
200,-15.739492578308576,-47.64160937907283,3,Real
705,-16.022445866016103,-47.97128780260604,4,Real
809,-15.960984898708181,-48.11559622169974,7,Real
228,-15.413159337375612,-47.61419280854606,6,Real
218,-15.480836250049698,-47.63352713148677,3,Real
612,-15.480836250049698,-47.63352713148677,6,Real
30,-15.79198604775903,-48.073220609634184,9,Real
434,-15.480836250049698,-47.63352713148677,8,Real
651,-15.918237147468776,-48.152998269411306,10,Real
848,-15.967185379868843,-47.74443051233905,5,Real
815,-15.794457042884106,-48.24443154256446,3,Real
895,-15.845077432467845,-48.09006298752325,8,Real
907,-16.005180112461105,-48.02607959556015,7,Real
606,-15.680229711329549,-48.19129696202176,4,Real
909,-15.867929822620473,-48.18893076946422,10,Real
641,-15.808592558336688,-47.919566856022335,10,Real
62,-15.491909318522744,-47.5947999585635,9,Real
93,-15.683422573154997,-48.17119961212521,10,Real
465,-15.918237147468776,-48.152998269411306,4,Real
267,-15.808592558336688,-47.919566856022335,9,Real
609,-15.680229711329549,-48.19129696202176,6,Real
261,-15.96438995541584,-48.16554953272398,8,Real
786,-15.955531421279407,-47.93264305083946,8,Real
403,-15.680229711329549,-48.19129696202176,10,Real
857,-15.760201790322142,-47.68140802829809,10,Real
280,-15.789305179965645,-48.213228904466675,9,Real
83,-15.480836250049698,-47.63352713148677,6,Real
831,-15.562076877111464,-47.83444173384607,4,Real
512,-15.867811159057172,-48.23501079018999,9,Real
37,-15.791218667949416,-47.88771366236689,7,Real
280,-15.834538486791782,-48.18555947267396,6,Real
99,-15.760201790322142,-47.68140802829809,3,Real
252,-16.022445866016103,-47.97128780260604,4,Real
74,-15.960984898708181,-48.11559622169974,10,Real
466,-15.96438995541584,-48.16554953272398,5,Real
380,-15.791218667949416,-47.88771366236689,4,Real
347,-16.02210635940884,-47.986225204278774,10,Real
705,-15.480836250049698,-47.63352713148677,3,Real
522,-15.760201790322142,-47.68140802829809,6,Real
82,-15.818309446012448,-47.92109802601978,10,Real
489,-15.970282672946103,-48.202978080533384,5,Real
851,-15.491909318522744,-47.5947999585635,6,Real
88,-15.967185379868843,-47.74443051233905,4,Real
191,-15.79198604775903,-48.073220609634184,6,Real
913,-15.867811159057172,-48.23501079018999,4,Real
508,-15.908095038243532,-48.14236215194033,5,Real
256,-15.794457042884106,-48.24443154256446,6,Real
440,-16.030156516084975,-48.03290949574748,5,Real
387,-15.739492578308576,-47.64160937907283,8,Real
996,-15.413159337375612,-47.61419280854606,9,Real
60,-15.867929822620473,-48.18893076946422,5,Real
464,-15.845077432467845,-48.09006298752325,4,Real
47,-16.02210635940884,-47.986225204278774,9,Real
62,-16.010895763907747,-48.19137553141773,9,Real
560,-15.955531421279407,-47.93264305083946,10,Real
705,-15.94019852371591,-48.10575213416886,3,Real
966,-15.845077432467845,-48.09006298752325,9,Real
936,-15.794457042884106,-48.24443154256446,6,Real
163,-15.967185379868843,-47.74443051233905,3,Real
115,-15.834538486791782,-48.18555947267396,4,Real
34,-15.794457042884106,-48.24443154256446,10,Real
545,-15.970282672946103,-48.202978080533384,9,Real
796,-16.010895763907747,-48.19137553141773,7,Real
684,-15.739492578308576,-47.64160937907283,7,Real
435,-15.960984898708181,-48.11559622169974,5,Real
523,-15.562076877111464,-47.83444173384607,5,Real
492,-16.02210635940884,-47.986225204278774,9,Real
89,-15.818309446012448,-47.92109802601978,6,Real
32,-15.908095038243532,-48.14236215194033,9,Real
70,-15.955531421279407,-47.93264305083946,7,Real
78,-15.888273196213543,-48.167924297823035,6,Real
825,-15.680229711329549,-48.19129696202176,4,Real
747,-15.680229711329549,-48.19129696202176,3,Real
968,-15.62779297528241,-48.174758288040636,3,Real
24,-16.030156516084975,-48.03290949574748,7,Real
148,-15.784649282288255,-47.66375932263911,7,Real
818,-15.96778843226439,-47.797184580201986,9,Real
53,-15.818309446012448,-47.92109802601978,9,Real
180,-15.815543074509781,-47.98757000084461,8,Real
324,-15.967185379868843,-47.74443051233905,4,Real
790,-15.818309446012448,-47.92109802601978,4,Real
517,-15.562076877111464,-47.83444173384607,7,Real
78,-15.683422573154997,-48.17119961212521,6,Real
944,-15.760201790322142,-47.68140802829809,5,Real
196,-15.815543074509781,-47.98757000084461,10,Real
661,-15.480836250049698,-47.63352713148677,7,Real
96,-15.683422573154997,-48.17119961212521,6,Real
989,-15.908095038243532,-48.14236215194033,3,Real
556,-16.005180112461105,-48.02607959556015,9,Real
160,-15.96438995541584,-48.16554953272398,4,Real
723,-15.834538486791782,-48.18555947267396,3,Real
70,-15.680229711329549,-48.19129696202176,8,Real
207,-15.480836250049698,-47.63352713148677,7,Real
139,-16.022445866016103,-47.97128780260604,8,Real
1,-15.970282672946103,-48.202978080533384,10,Real
333,-15.818309446012448,-47.92109802601978,9,Real
154,-15.867811159057172,-48.23501079018999,4,Real
89,-15.791218667949416,-47.88771366236689,3,Real
310,-15.891105816817026,-47.97583200232041,4,Real
303,-16.02210635940884,-47.986225204278774,9,Real
190,-15.881515588082818,-48.14501797943107,6,Real
671,-15.891105816817026,-47.97583200232041,6,Real
24,-15.683422573154997,-48.17119961212521,7,Real
600,-15.967185379868843,-47.74443051233905,4,Real
492,-15.96778843226439,-47.797184580201986,7,Real
176,-15.918237147468776,-48.152998269411306,3,Real
61,-16.030156516084975,-48.03290949574748,9,Real
782,-16.030156516084975,-48.03290949574748,6,Real
79,-15.789305179965645,-48.213228904466675,3,Real
336,-15.891105816817026,-47.97583200232041,10,Real
480,-15.683422573154997,-48.17119961212521,8,Real
709,-15.739492578308576,-47.64160937907283,9,Real
252,-16.005180112461105,-48.02607959556015,10,Real
469,-15.881515588082818,-48.14501797943107,5,Real
790,-15.62779297528241,-48.174758288040636,7,Real
523,-15.413159337375612,-47.61419280854606,10,Real
93,-15.789305179965645,-48.213228904466675,3,Real
844,-15.888273196213543,-48.167924297823035,8,Real
148,-15.760201790322142,-47.68140802829809,3,Real
985,-15.96438995541584,-48.16554953272398,10,Real
412,-15.562076877111464,-47.83444173384607,4,Real
262,-15.908095038243532,-48.14236215194033,8,Real
597,-15.891105816817026,-47.97583200232041,3,Real
618,-15.834538486791782,-48.18555947267396,9,Real
106,-15.562076877111464,-47.83444173384607,5,Real
225,-15.807068838177504,-47.93713797326396,3,Real
192,-15.881515588082818,-48.14501797943107,3,Real
747,-15.760201790322142,-47.68140802829809,10,Real
333,-15.491909318522744,-47.5947999585635,9,Real
839,-16.022445866016103,-47.97128780260604,10,Real
778,-15.845077432467845,-48.09006298752325,10,Real
671,-15.908095038243532,-48.14236215194033,7,Real
520,-15.413159337375612,-47.61419280854606,3,Real
624,-15.888273196213543,-48.167924297823035,7,Real
676,-15.891105816817026,-47.97583200232041,8,Real
239,-16.02210635940884,-47.986225204278774,6,Real
45,-15.955531421279407,-47.93264305083946,9,Real
816,-15.789305179965645,-48.213228904466675,8,Real
252,-15.789305179965645,-48.213228904466675,9,Real
224,-15.680229711329549,-48.19129696202176,9,Real
973,-15.683422573154997,-48.17119961212521,6,Real
122,-16.005180112461105,-48.02607959556015,10,Real
615,-15.881515588082818,-48.14501797943107,8,Real
499,-15.760201790322142,-47.68140802829809,6,Real
85,-15.789305179965645,-48.213228904466675,7,Real
538,-15.413159337375612,-47.61419280854606,9,Real
496,-15.791218667949416,-47.88771366236689,3,Real
128,-15.480836250049698,-47.63352713148677,10,Real
735,-15.62779297528241,-48.174758288040636,4,Real
319,-15.760201790322142,-47.68140802829809,5,Real
502,-15.96778843226439,-47.797184580201986,5,Real
137,-15.680229711329549,-48.19129696202176,9,Real
879,-15.480836250049698,-47.63352713148677,9,Real
324,-15.955531421279407,-47.93264305083946,7,Real
228,-15.791218667949416,-47.88771366236689,6,Real
412,-15.784649282288255,-47.66375932263911,6,Real
979,-15.96778843226439,-47.797184580201986,8,Real
587,-15.867811159057172,-48.23501079018999,4,Real
756,-15.881515588082818,-48.14501797943107,4,Real
601,-15.62779297528241,-48.174758288040636,9,Real
579,-15.96438995541584,-48.16554953272398,10,Real
37,-15.970282672946103,-48.202978080533384,10,Real
12,-15.79198604775903,-48.073220609634184,10,Real
927,-15.881515588082818,-48.14501797943107,8,Real
192,-15.94019852371591,-48.10575213416886,10,Real
585,-15.491909318522744,-47.5947999585635,8,Real
313,-15.784649282288255,-47.66375932263911,9,Real
391,-15.808592558336688,-47.919566856022335,5,Real
933,-15.62779297528241,-48.174758288040636,8,Real
266,-15.413159337375612,-47.61419280854606,5,Real
54,-15.62779297528241,-48.174758288040636,9,Real
691,-15.815543074509781,-47.98757000084461,6,Real
685,-15.683422573154997,-48.17119961212521,10,Real
106,-15.791218667949416,-47.88771366236689,4,Real
834,-15.739492578308576,-47.64160937907283,10,Real
372,-15.881515588082818,-48.14501797943107,9,Real
849,-15.955531421279407,-47.93264305083946,4,Real
946,-15.62779297528241,-48.174758288040636,9,Real
264,-15.881515588082818,-48.14501797943107,7,Real
519,-15.918237147468776,-48.152998269411306,4,Real
782,-16.005180112461105,-48.02607959556015,3,Real
515,-15.891105816817026,-47.97583200232041,6,Real
366,-15.739492578308576,-47.64160937907283,7,Real
824,-16.022445866016103,-47.97128780260604,5,Real
328,-15.480836250049698,-47.63352713148677,4,Real
611,-15.784649282288255,-47.66375932263911,8,Real
545,-15.970282672946103,-48.202978080533384,3,Real
753,-15.818309446012448,-47.92109802601978,4,Real
766,-15.818309446012448,-47.92109802601978,3,Real
716,-15.867929822620473,-48.18893076946422,7,Real
835,-15.867929822620473,-48.18893076946422,5,Real
699,-15.807068838177504,-47.93713797326396,9,Real
822,-15.807068838177504,-47.93713797326396,9,Real
895,-15.413159337375612,-47.61419280854606,7,Real
486,-15.970282672946103,-48.202978080533384,9,Real
165,-15.818309446012448,-47.92109802601978,3,Real
326,-15.808592558336688,-47.919566856022335,6,Real
970,-15.96778843226439,-47.797184580201986,10,Real
866,-15.815543074509781,-47.98757000084461,6,Real
753,-15.62779297528241,-48.174758288040636,8,Real
367,-15.562076877111464,-47.83444173384607,8,Real
491,-16.005180112461105,-48.02607959556015,10,Real
99,-15.413159337375612,-47.61419280854606,6,Real
917,-15.908095038243532,-48.14236215194033,5,Real
324,-15.808592558336688,-47.919566856022335,6,Real
106,-15.760201790322142,-47.68140802829809,10,Real
332,-15.867811159057172,-48.23501079018999,4,Real
63,-15.94019852371591,-48.10575213416886,5,Real
783,-15.834538486791782,-48.18555947267396,9,Real
379,-15.480836250049698,-47.63352713148677,6,Real
275,-16.010895763907747,-48.19137553141773,8,Real
757,-15.807068838177504,-47.93713797326396,7,Real
303,-16.010895763907747,-48.19137553141773,4,Real
183,-15.918237147468776,-48.152998269411306,9,Real
878,-15.794457042884106,-48.24443154256446,10,Real
556,-16.030156516084975,-48.03290949574748,10,Real
7,-15.970282672946103,-48.202978080533384,9,Real
912,-15.845077432467845,-48.09006298752325,8,Real
806,-15.794457042884106,-48.24443154256446,10,Real
646,-16.010895763907747,-48.19137553141773,6,Real
116,-15.818309446012448,-47.92109802601978,7,Real
166,-15.784649282288255,-47.66375932263911,6,Real
122,-16.010895763907747,-48.19137553141773,10,Real
522,-15.680229711329549,-48.19129696202176,4,Real
724,-15.760201790322142,-47.68140802829809,7,Real
317,-15.918237147468776,-48.152998269411306,3,Real
403,-16.022445866016103,-47.97128780260604,5,Real
733,-15.891105816817026,-47.97583200232041,7,Real
995,-15.918237147468776,-48.152998269411306,6,Real
663,-15.62779297528241,-48.174758288040636,9,Real
821,-15.791218667949416,-47.88771366236689,3,Real
322,-15.967185379868843,-47.74443051233905,5,Real
861,-15.818309446012448,-47.92109802601978,5,Real
843,-15.967185379868843,-47.74443051233905,10,Real
773,-15.908095038243532,-48.14236215194033,7,Real
22,-15.789305179965645,-48.213228904466675,10,Real
884,-15.967185379868843,-47.74443051233905,9,Real
55,-16.005180112461105,-48.02607959556015,4,Real
573,-15.789305179965645,-48.213228904466675,6,Real
53,-15.680229711329549,-48.19129696202176,4,Real
733,-15.967185379868843,-47.74443051233905,3,Real
940,-15.680229711329549,-48.19129696202176,3,Real
983,-15.491909318522744,-47.5947999585635,9,Real
939,-15.867929822620473,-48.18893076946422,10,Real
748,-15.791218667949416,-47.88771366236689,6,Real
875,-15.789305179965645,-48.213228904466675,3,Real
453,-15.881515588082818,-48.14501797943107,5,Real
537,-15.807068838177504,-47.93713797326396,5,Real
947,-15.967185379868843,-47.74443051233905,5,Real
279,-15.815543074509781,-47.98757000084461,7,Real
123,-15.413159337375612,-47.61419280854606,9,Real
824,-15.760201790322142,-47.68140802829809,7,Real
604,-15.791218667949416,-47.88771366236689,7,Real
848,-15.960984898708181,-48.11559622169974,4,Real
203,-16.022445866016103,-47.97128780260604,4,Real
243,-15.789305179965645,-48.213228904466675,7,Real
469,-15.791218667949416,-47.88771366236689,3,Real
819,-15.867811159057172,-48.23501079018999,6,Real
854,-16.022445866016103,-47.97128780260604,8,Real
883,-15.739492578308576,-47.64160937907283,9,Real
193,-15.881515588082818,-48.14501797943107,3,Real
357,-16.010895763907747,-48.19137553141773,4,Real
338,-16.005180112461105,-48.02607959556015,6,Real
301,-15.970282672946103,-48.202978080533384,10,Real
892,-15.867811159057172,-48.23501079018999,5,Real
528,-15.794457042884106,-48.24443154256446,6,Real
198,-15.96438995541584,-48.16554953272398,7,Real
379,-15.918237147468776,-48.152998269411306,6,Real
87,-15.491909318522744,-47.5947999585635,4,Real
329,-16.005180112461105,-48.02607959556015,4,Real
152,-15.562076877111464,-47.83444173384607,3,Real
901,-16.030156516084975,-48.03290949574748,6,Real
866,-15.881515588082818,-48.14501797943107,10,Real
412,-15.480836250049698,-47.63352713148677,6,Real
798,-15.818309446012448,-47.92109802601978,4,Real
805,-15.815543074509781,-47.98757000084461,6,Real
673,-15.815543074509781,-47.98757000084461,3,Real
961,-16.022445866016103,-47.97128780260604,5,Real
498,-15.94019852371591,-48.10575213416886,10,Real
384,-15.970282672946103,-48.202978080533384,10,Real
348,-15.818309446012448,-47.92109802601978,8,Real
645,-15.491909318522744,-47.5947999585635,9,Real
991,-16.022445866016103,-47.97128780260604,7,Real
959,-15.908095038243532,-48.14236215194033,6,Real
318,-15.908095038243532,-48.14236215194033,10,Real
420,-16.030156516084975,-48.03290949574748,4,Real
606,-15.760201790322142,-47.68140802829809,5,Real
664,-15.789305179965645,-48.213228904466675,3,Real
712,-16.030156516084975,-48.03290949574748,8,Real
236,-15.888273196213543,-48.167924297823035,4,Real
540,-15.960984898708181,-48.11559622169974,7,Real
211,-15.845077432467845,-48.09006298752325,7,Real
214,-15.79198604775903,-48.073220609634184,6,Real
171,-15.867811159057172,-48.23501079018999,5,Real
167,-15.791218667949416,-47.88771366236689,9,Real
389,-15.818309446012448,-47.92109802601978,5,Real
130,-15.562076877111464,-47.83444173384607,7,Real
28,-15.791218667949416,-47.88771366236689,9,Real
73,-15.789305179965645,-48.213228904466675,9,Real
272,-16.022445866016103,-47.97128780260604,10,Real
489,-15.683422573154997,-48.17119961212521,3,Real
272,-15.96438995541584,-48.16554953272398,8,Real
891,-15.807068838177504,-47.93713797326396,10,Real
140,-16.02210635940884,-47.986225204278774,8,Real
692,-15.867929822620473,-48.18893076946422,9,Real
236,-15.79198604775903,-48.073220609634184,8,Real
581,-15.79198604775903,-48.073220609634184,7,Real
80,-15.739492578308576,-47.64160937907283,6,Real
993,-15.413159337375612,-47.61419280854606,3,Real
510,-15.867929822620473,-48.18893076946422,9,Real
44,-15.807068838177504,-47.93713797326396,3,Real
508,-16.030156516084975,-48.03290949574748,10,Real
651,-16.010895763907747,-48.19137553141773,10,Real
25,-15.918237147468776,-48.152998269411306,5,Real
880,-15.970282672946103,-48.202978080533384,5,Real
890,-15.818309446012448,-47.92109802601978,6,Real
495,-15.562076877111464,-47.83444173384607,3,Real
139,-15.491909318522744,-47.5947999585635,7,Real
717,-15.967185379868843,-47.74443051233905,10,Real
698,-15.815543074509781,-47.98757000084461,7,Real
649,-15.960984898708181,-48.11559622169974,7,Real
239,-15.94019852371591,-48.10575213416886,10,Real
41,-15.970282672946103,-48.202978080533384,7,Real
786,-16.030156516084975,-48.03290949574748,6,Real
419,-15.970282672946103,-48.202978080533384,9,Real
900,-16.010895763907747,-48.19137553141773,5,Real
238,-15.760201790322142,-47.68140802829809,9,Real
24,-15.818309446012448,-47.92109802601978,4,Real
139,-15.815543074509781,-47.98757000084461,3,Real
558,-15.834538486791782,-48.18555947267396,8,Real
947,-15.62779297528241,-48.174758288040636,7,Real
595,-15.79198604775903,-48.073220609634184,10,Real
361,-15.96778843226439,-47.797184580201986,3,Real
762,-15.808592558336688,-47.919566856022335,5,Real
855,-16.010895763907747,-48.19137553141773,10,Real
64,-15.683422573154997,-48.17119961212521,4,Real
425,-15.891105816817026,-47.97583200232041,6,Real
390,-15.960984898708181,-48.11559622169974,6,Real
716,-16.030156516084975,-48.03290949574748,10,Real
634,-16.030156516084975,-48.03290949574748,4,Real
648,-16.005180112461105,-48.02607959556015,4,Real
767,-15.845077432467845,-48.09006298752325,10,Real
913,-15.834538486791782,-48.18555947267396,9,Real
676,-15.807068838177504,-47.93713797326396,8,Real
431,-15.794457042884106,-48.24443154256446,8,Real
863,-15.867811159057172,-48.23501079018999,3,Real
58,-16.02210635940884,-47.986225204278774,10,Real
499,-15.967185379868843,-47.74443051233905,3,Real
662,-15.970282672946103,-48.202978080533384,7,Real
889,-15.760201790322142,-47.68140802829809,5,Real
94,-15.96438995541584,-48.16554953272398,10,Real
600,-15.794457042884106,-48.24443154256446,4,Real
561,-15.818309446012448,-47.92109802601978,4,Real
301,-16.022445866016103,-47.97128780260604,8,Real
762,-15.794457042884106,-48.24443154256446,7,Real
371,-15.960984898708181,-48.11559622169974,9,Real
836,-15.845077432467845,-48.09006298752325,10,Real
819,-15.881515588082818,-48.14501797943107,3,Real
414,-15.791218667949416,-47.88771366236689,6,Real
231,-15.908095038243532,-48.14236215194033,7,Real
969,-15.918237147468776,-48.152998269411306,4,Real
16,-15.955531421279407,-47.93264305083946,9,Real
905,-15.789305179965645,-48.213228904466675,8,Real
335,-16.022445866016103,-47.97128780260604,8,Real
32,-16.005180112461105,-48.02607959556015,10,Real
151,-15.480836250049698,-47.63352713148677,4,Real
236,-15.960984898708181,-48.11559622169974,5,Real
720,-15.967185379868843,-47.74443051233905,4,Real
107,-16.030156516084975,-48.03290949574748,4,Real
642,-15.815543074509781,-47.98757000084461,8,Real
890,-15.760201790322142,-47.68140802829809,8,Real
290,-16.02210635940884,-47.986225204278774,9,Real
304,-15.413159337375612,-47.61419280854606,5,Real
950,-15.867929822620473,-48.18893076946422,10,Real
262,-15.807068838177504,-47.93713797326396,10,Real
505,-15.791218667949416,-47.88771366236689,3,Real
643,-15.79198604775903,-48.073220609634184,5,Real
574,-16.022445866016103,-47.97128780260604,7,Real
722,-15.908095038243532,-48.14236215194033,4,Real
589,-15.845077432467845,-48.09006298752325,3,Real
298,-15.96438995541584,-48.16554953272398,7,Real
972,-16.010895763907747,-48.19137553141773,5,Real
287,-15.760201790322142,-47.68140802829809,3,Real
663,-15.955531421279407,-47.93264305083946,4,Real
693,-15.834538486791782,-48.18555947267396,7,Real
240,-15.96438995541584,-48.16554953272398,5,Real
911,-15.739492578308576,-47.64160937907283,9,Real
247,-15.62779297528241,-48.174758288040636,4,Real
47,-15.891105816817026,-47.97583200232041,3,Real
795,-15.413159337375612,-47.61419280854606,9,Real
582,-15.94019852371591,-48.10575213416886,10,Real
464,-15.739492578308576,-47.64160937907283,5,Real
301,-15.413159337375612,-47.61419280854606,10,Real
197,-15.491909318522744,-47.5947999585635,8,Real
536,-15.867811159057172,-48.23501079018999,6,Real
756,-15.881515588082818,-48.14501797943107,7,Real
849,-16.022445866016103,-47.97128780260604,3,Real
164,-15.739492578308576,-47.64160937907283,5,Real
957,-15.955531421279407,-47.93264305083946,5,Real
997,-15.867929822620473,-48.18893076946422,4,Real
167,-15.94019852371591,-48.10575213416886,7,Real
679,-15.845077432467845,-48.09006298752325,7,Real
63,-15.867929822620473,-48.18893076946422,3,Real
369,-15.815543074509781,-47.98757000084461,7,Real
709,-15.94019852371591,-48.10575213416886,10,Real
819,-15.888273196213543,-48.167924297823035,9,Real
305,-15.739492578308576,-47.64160937907283,7,Real
624,-15.891105816817026,-47.97583200232041,5,Real
519,-15.491909318522744,-47.5947999585635,3,Real
139,-15.96438995541584,-48.16554953272398,6,Real
184,-15.867811159057172,-48.23501079018999,6,Real
154,-15.807068838177504,-47.93713797326396,8,Real
326,-15.62779297528241,-48.174758288040636,4,Real
778,-15.62779297528241,-48.174758288040636,9,Real
946,-15.867811159057172,-48.23501079018999,4,Real
668,-15.845077432467845,-48.09006298752325,8,Real
901,-15.845077432467845,-48.09006298752325,10,Real
189,-15.955531421279407,-47.93264305083946,6,Real
501,-15.818309446012448,-47.92109802601978,6,Real
50,-15.62779297528241,-48.174758288040636,3,Real
692,-16.022445866016103,-47.97128780260604,9,Real
992,-15.845077432467845,-48.09006298752325,6,Real
999,-15.955531421279407,-47.93264305083946,6,Real
514,-15.891105816817026,-47.97583200232041,9,Real
630,-16.010895763907747,-48.19137553141773,5,Real
813,-15.808592558336688,-47.919566856022335,9,Real
407,-15.815543074509781,-47.98757000084461,5,Real
487,-15.62779297528241,-48.174758288040636,9,Real
237,-15.955531421279407,-47.93264305083946,7,Real
472,-15.789305179965645,-48.213228904466675,7,Real
798,-15.96778843226439,-47.797184580201986,4,Real
99,-15.867929822620473,-48.18893076946422,10,Real
926,-15.739492578308576,-47.64160937907283,6,Real
43,-15.888273196213543,-48.167924297823035,4,Real
925,-15.970282672946103,-48.202978080533384,6,Real
389,-15.960984898708181,-48.11559622169974,5,Real
608,-15.970282672946103,-48.202978080533384,4,Real
997,-15.815543074509781,-47.98757000084461,5,Real
939,-15.970282672946103,-48.202978080533384,5,Real
811,-15.881515588082818,-48.14501797943107,10,Real
343,-15.791218667949416,-47.88771366236689,7,Real
218,-15.62779297528241,-48.174758288040636,8,Real
766,-15.960984898708181,-48.11559622169974,7,Real
465,-15.967185379868843,-47.74443051233905,6,Real
99,-15.834538486791782,-48.18555947267396,5,Real
987,-15.955531421279407,-47.93264305083946,4,Real
278,-15.79198604775903,-48.073220609634184,10,Real
68,-15.62779297528241,-48.174758288040636,8,Real
666,-15.807068838177504,-47.93713797326396,10,Real
397,-15.794457042884106,-48.24443154256446,10,Real
762,-15.960984898708181,-48.11559622169974,10,Real
115,-15.918237147468776,-48.152998269411306,8,Real
40,-15.970282672946103,-48.202978080533384,3,Real
300,-15.62779297528241,-48.174758288040636,7,Real
601,-15.908095038243532,-48.14236215194033,10,Real
249,-15.881515588082818,-48.14501797943107,8,Real
967,-15.791218667949416,-47.88771366236689,4,Real
516,-15.96438995541584,-48.16554953272398,6,Real
5,-15.96778843226439,-47.797184580201986,7,Real
588,-15.881515588082818,-48.14501797943107,9,Real
514,-15.891105816817026,-47.97583200232041,10,Real
304,-15.891105816817026,-47.97583200232041,4,Real
503,-15.562076877111464,-47.83444173384607,8,Real
105,-15.955531421279407,-47.93264305083946,7,Real
308,-15.815543074509781,-47.98757000084461,4,Real
71,-15.683422573154997,-48.17119961212521,6,Real
967,-15.760201790322142,-47.68140802829809,7,Real
917,-15.918237147468776,-48.152998269411306,9,Real
516,-15.881515588082818,-48.14501797943107,9,Real
50,-15.794457042884106,-48.24443154256446,10,Real
514,-15.96438995541584,-48.16554953272398,8,Real
426,-16.030156516084975,-48.03290949574748,3,Real
194,-15.967185379868843,-47.74443051233905,8,Real
949,-15.807068838177504,-47.93713797326396,6,Real
503,-16.005180112461105,-48.02607959556015,4,Real
523,-15.789305179965645,-48.213228904466675,5,Real
720,-15.94019852371591,-48.10575213416886,5,Real
656,-15.739492578308576,-47.64160937907283,3,Real
655,-15.891105816817026,-47.97583200232041,7,Real
908,-15.888273196213543,-48.167924297823035,4,Real
54,-15.891105816817026,-47.97583200232041,9,Real
452,-16.022445866016103,-47.97128780260604,9,Real
578,-15.491909318522744,-47.5947999585635,6,Real
387,-15.818309446012448,-47.92109802601978,7,Real
215,-15.62779297528241,-48.174758288040636,4,Real
523,-15.867811159057172,-48.23501079018999,4,Real
258,-15.881515588082818,-48.14501797943107,10,Real
1000,-15.480836250049698,-47.63352713148677,9,Real
87,-15.834538486791782,-48.18555947267396,4,Real
346,-16.02210635940884,-47.986225204278774,7,Real
